Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
yes,REGIONAL FLATS,2,female,23,satisfied
no,ZONE I,2,female,25,very_dissatisf
no,ZONE I,10,female,42,neither_satisf
yes,REGIONAL FLATS,10,male,32,satisfied
no,REGIONAL FLATS,5,male,38,very_satisfied
yes,ZONE I,1,male,20,neither_satisf
no,REGIONAL FLATS,9,male,46,satisfied
yes,ZONE 8,22,male,28,satisfied
no,REGIONAL FLATS,2,male,26,satisfied
yes,VILLAGE 4,5,female,40,neither_satisf
yes,VILLAGE 4,5,female,29,very_dissatisf
yes,VILLAGE 4,5,female,30,very_dissatisf
yes,REGIONAL FLATS,5,male,36,very_satisfied
yes,VILLAGE 4,3,male,25,dissatisfied
yes,VILLAGE 4,7,male,28,satisfied
yes,VILLAGE 4,7,male,28,satisfied
yes,ZONE I,1,female,52,dissatisfied
yes,ZONE I,4,male,33,satisfied
yes,ZONE I,31,female,53,very_dissatisf
yes,ZONE I,10,female,34,dissatisfied
yes,ZONE I,2,male,22,satisfied
yes,REGIONAL FLATS,12,male,29,satisfied
yes,VILLAGE 4,10,male,38,satisfied
yes,VILLAGE 4,20,male,45,satisfied
yes,VILLAGE 4,6,male,26,satisfied
yes,VILLAGE 4,5,female,26,very_dissatisf
yes,VILLAGE 4,2,male,28,very_dissatisf
yes,VILLAGE 4,5,male,29,very_dissatisf
no,CHURCH,18,male,32,very_dissatisf
no,VILLAGE 16,12,male,26,dissatisfied
no,Village 11 ,1,male,38,satisfied
no,CHURCH,4,female,63,very_dissatisf
yes,KIBUMBIRO B,1,female,21,very_dissatisf
yes,KIBUMBIRO B,20,female,26,very_dissatisf
yes,VILLAGE 16,6,male,31,satisfied
no,CHURCH,20,male,42,very_dissatisf
yes,KIBUMBIRO B,4,female,25,very_dissatisf
no,Village 11 ,10,male,32,satisfied
no,VILLAGE 16,28,male,28,very_satisfied
no,CHURCH,5,female,27,very_dissatisf
yes,KIBUMBIRO B,6,male,24,very_dissatisf
no,CHURCH,3,male,32,very_dissatisf
yes,KIBUMBIRO B,1,female,19,very_dissatisf
no,CHURCH,3,male,23,very_dissatisf
yes,KIBUMBIRO B,6,female,33,neither_satisf
yes,KIBUMBIRO B,5,female,33,satisfied
no,Village 11 ,21,male,21,dissatisfied
yes,KIBUMBIRO B,30,male,30,very_dissatisf
