years,fireRisk,vote,districtBen,districtSuc,districtSafe,forest,evac,chip,noChip,defense,noDefense,lostHome,ownRent,income,eth,spouseEth,edu
28.8,4,1,4,4,4,3,1,3,69,1,69,0,0,2,1,1,3
37,4,0,4,4,4,4,1,2,69,1,69,0,0,2,1,1,4
4,3,0,5,69,4,1,1,0,5,0,3,0,0,69,69,69,69
8,4,3,4,4,4,3,1,3,69,1,69,0,0,69,69,69,69
37.9,3,2,4,4,4,3,1,1,69,0,3,0,0,69,69,69,69
3.2,3,2,4,4,4,4,1,2,69,0,3,0,0,2,1,1,3
46.2,5,1,4,3,3,2,1,2,69,0,1,0,0,2,1,1,4
2.7,4,2,4,4,4,3,1,2,69,0,1,0,0,2,1,1,4
23.1,4,1,5,5,5,5,1,0,5,0,5,0,0,1,1,69,3
49.5,2,1,4,4,4,5,1,2,69,1,69,0,0,1,1,69,3
14.4,4,1,5,5,5,4,1,0,69,1,69,0,0,1,1,1,2
12.8,2,2,5,4,5,5,1,0,69,0,4,0,1,1,1,1,3
43,4,1,4,4,4,4,1,0,4,0,4,0,0,2,1,1,2
8.5,4,3,4,4,4,4,1,0,2,1,69,0,0,2,1,1,4
5,4,0,1,1,1,4,0,2,69,0,3,0,0,2,2,2,3
15.1,5,1,69,69,69,69,1,2,69,0,69,0,0,69,1,69,3
4,4,1,4,3,3,4,1,3,69,1,69,0,0,1,1,2,3
63,4,1,4,4,4,5,1,0,1,0,1,0,0,1,1,69,4
52,4,0,4,4,3,4,1,0,1,0,1,0,0,69,1,69,2
8.3,4,3,4,4,4,3,1,1,69,1,69,0,0,2,5,1,4
31.2,3,1,5,4,4,4,1,1,69,1,69,0,0,69,69,69,69
10.3,4,2,4,3,3,4,1,0,5,0,69,0,1,3,1,1,4
15,4,2,4,3,3,4,1,1,5,1,69,1,0,1,1,1,4
19.1,5,2,4,4,4,3,1,1,69,0,3,0,0,69,69,69,69
11.8,2,0,2,2,2,3,1,3,5,0,3,0,0,69,69,69,69
40,5,1,4,4,4,3,1,0,4,1,69,0,0,2,1,1,4
55,5,1,5,5,5,5,1,0,4,1,69,1,0,2,1,1,4
20,4,2,4,4,3,5,1,0,5,1,69,0,0,3,1,69,4
14,4,0,3,3,3,3,1,2,69,0,3,0,0,3,1,1,4
18,5,2,69,69,69,5,1,0,3,1,69,0,0,3,69,69,69
16.3,5,1,4,4,4,4,1,3,69,1,69,0,0,2,1,69,4
11.7,3,1,5,5,5,4,0,69,69,1,69,0,0,3,1,1,4
22,4,1,1,2,2,4,1,1,5,0,3,0,0,2,2,69,4
9,4,3,4,4,4,4,1,2,69,0,4,1,0,2,1,69,3
43,5,1,4,3,3,5,1,1,5,0,3,1,0,3,1,1,4
33,5,1,4,4,4,2,1,0,5,1,69,0,0,2,1,1,4
17,4,2,4,4,4,4,1,0,2,0,2,0,0,2,1,1,3
13,3,1,5,5,5,4,1,2,69,1,69,0,0,2,1,1,4
17,5,1,5,5,3,1,0,0,69,0,5,0,0,69,69,69,69
45,5,1,5,4,4,4,1,2,69,1,69,0,0,69,69,69,69
38.5,3,2,4,4,4,5,1,0,69,0,4,0,0,69,69,69,69
30,1,3,1,1,1,2,1,0,3,0,3,0,0,2,1,1,2
20.1,4,2,5,5,5,3,1,0,5,0,5,0,0,3,1,1,3
3.5,4,3,3,3,3,3,1,0,1,0,1,0,0,69,1,69,4
7,4,69,5,5,5,5,1,3,69,0,69,0,0,2,1,1,3
25,4,0,1,2,2,1,1,2,69,0,69,0,0,69,69,69,69
42,5,1,5,5,5,3,1,2,69,0,5,1,0,69,69,69,69
16.6,5,1,4,4,4,2,1,2,69,0,3,1,0,2,1,1,3
1.3,4,1,4,4,4,3,1,2,69,0,5,1,0,3,1,1,3
15,4,1,4,3,3,5,1,3,69,1,69,0,0,69,69,69,69
5.3,5,1,5,5,5,5,1,0,69,0,1,0,0,69,1,1,3
30,5,1,5,4,4,4,1,2,69,1,69,1,0,1,1,1,4
23,4,1,5,5,5,3,1,0,1,0,5,0,0,1,1,1,3
8,3,3,3,4,4,3,1,1,69,0,3,0,0,69,1,69,3
5.6,4,2,4,4,4,5,1,2,69,1,69,1,0,1,1,1,4
37,2,2,3,3,3,4,69,0,4,0,4,0,0,1,1,69,2
20,69,2,4,4,3,3,1,2,69,0,69,0,0,69,69,69,69
16.3,4,2,4,4,4,3,1,2,69,0,3,0,0,2,1,1,3
13.2,4,0,2,3,3,5,1,0,4,0,3,0,0,69,69,69,69
25.3,69,69,3,3,3,4,1,2,69,0,3,1,0,2,1,1,4
15.5,3,1,5,5,5,3,1,2,69,0,5,0,0,69,69,69,69
17.4,3,2,69,69,69,4,1,3,69,1,69,0,0,2,1,1,4
5.3,4,3,5,4,4,4,1,3,69,1,69,0,0,2,1,1,4
3,4,3,4,2,2,3,0,2,69,0,5,0,0,3,69,69,69
15,5,2,69,69,69,69,1,3,69,1,69,1,0,69,1,69,69
30,4,1,4,4,4,5,1,0,5,0,5,0,0,2,1,1,4
12.8,5,1,5,5,5,3,1,2,69,1,69,0,0,69,1,1,4
10,3,0,5,5,5,5,0,0,4,0,4,0,0,69,69,69,69
10,4,2,5,5,5,5,1,1,69,1,69,0,0,69,69,69,69
50,5,1,5,69,5,5,1,1,69,1,69,0,0,69,1,1,4
5,5,0,4,3,3,2,1,0,3,1,69,1,0,1,1,69,3
43,3,1,4,3,3,4,1,2,69,1,69,0,0,1,1,69,3
20.5,5,1,5,4,4,3,1,2,69,0,5,0,0,2,1,1,4
40.3,69,1,5,5,5,69,1,3,69,0,69,1,0,69,69,69,69
1.1,3,3,3,3,3,4,0,1,69,0,3,0,0,69,69,69,69
64,4,1,3,3,3,4,1,0,69,0,5,0,0,69,69,69,69
12.2,5,2,1,1,1,5,1,0,4,0,5,1,0,2,1,1,4
38.1,4,1,4,4,4,4,1,1,69,0,3,0,0,2,1,1,4
1.2,5,3,5,5,5,5,0,0,69,0,1,0,0,69,1,1,4
